date,team1,team2,team1players,team2players,team1score,team2score,winner,url
2021-07-01 02:30:00,No One Shoots Back,UT Crew,"['MohaK', 'Fire', 'Prolute', 'Spart']","['Phantomz', 'Archivs', 'Jimbo', 'Wrecks']",3,0,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-07-01 02:30:00,Jabbawockeez,Team Canada,"['Zinx', 'Sib', 'Decemate', 'FeLo']","['Royalty', 'Xotic', 'Diamondcon', 'Davpadie']",0,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-07-01 02:30:00,UYU,Built by Gamers,"['Cruze', 'Wand', 'Noysii', 'Wellyy']","['GodRx', 'Pandur', 'Pentagrxm', 'KiSMET']",3,1,1,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-07-01 02:30:00,Trash Bros,Lore Gaming,"['Hollow', 'Mock', 'Ulisses', 'Jintroid']","['Ramby', 'Perform', 'Yeez', 'Parasite']",0,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FNorth_America
2021-07-01 10:05:00,Force1 Esports,TeamIND,"['Abyss', 'BONES', 'OiL', 'Ignite', 'Xyro']","['Learn', 'Vegaz', 'Broszxs', 'BurnZ', 'TrunKs']",0,2,2,https%3A%2F%2Fliquipedia.net%2FEsports_XO%2FChampions_League%2FSeason_2
2021-07-01 10:40:00,True Rippers Esports,TeamIND,"['Techno', 'Kevin', 'BLOOD', 'Reactio1', 'Mirage']","['Learn', 'Vegaz', 'Broszxs', 'BurnZ', 'TrunKs']",0,2,2,https%3A%2F%2Fliquipedia.net%2FEsports_XO%2FChampions_League%2FSeason_2
2021-07-02 08:30:00,GodLike,Revenant Esports,"['Minho', 'VorteX', 'DANTE', 'Lezra', 'Prizzm']","['PreVail', 'Wra1th', 'Abhiz', 'Diablo', 'JOHNWICK']",3,1,1,https%3A%2F%2Fliquipedia.net%2FEsports_XO%2FChampions_League%2FSeason_2
2021-07-02 09:30:00,Revenant Esports,TeamIND,"['PreVail', 'Wra1th', 'Abhiz', 'Diablo', 'JOHNWICK']","['Learn', 'Vegaz', 'Broszxs', 'BurnZ', 'TrunKs']",2,3,2,https%3A%2F%2Fliquipedia.net%2FEsports_XO%2FChampions_League%2FSeason_2
2021-07-04 13:30:00,GodLike,TeamIND,"['Minho', 'VorteX', 'DANTE', 'Lezra', 'Prizzm']","['Learn', 'Vegaz', 'Broszxs', 'BurnZ', 'TrunKs']",4,3,1,https%3A%2F%2Fliquipedia.net%2FEsports_XO%2FChampions_League%2FSeason_2
2021-07-05 00:00:00,Nova Esports EU,STMN Esports,"['Yahya', 'Turu', 'SaTuRnZz', 'BabaJaga', 'Karma_(Mobile_Player)']","['Angel', 'Naarkz', 'Inferno', 'Grizz', 'Tobi']",4,0,1,https%3A%2F%2Fliquipedia.net%2FNova_Championship_Series%2FSeason_7
2021-07-05 00:00:00,Oxygen Esports/Mobile,STMN Esports,"['Marvel', 'Kosh', 'Sh4rk', 'DarkWizard', 'Jaz']","['Angel', 'Naarkz', 'Inferno', 'Grizz', 'Tobi']",1,3,2,https%3A%2F%2Fliquipedia.net%2FNova_Championship_Series%2FSeason_7
2021-07-06 19:00:00,Elevate,Mav3ricks eSports,"['Bidz', 'Denza', 'Hicksy', 'Weeman']","['Sukry', 'EriKBooM', 'SupeR', 'Vikul']",2,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FEurope
2021-07-06 19:00:00,Team WaR,Orgless,"['JurNii', 'MettalZ', 'YaKo', 'Lucky']","['Nastie', 'Vortex', 'Harry', 'Gismo']",2,3,2,https%3A%2F%2Fliquipedia.net%2FCall_of_Duty_Challengers%2F2021%2FElite%2FStage_5%2FEurope
