date,team1,team2,team1players,team2players,team1score,team2score,winner,url
2020-06-04 18:00:00,Icarus Exiles,team bloodhound,"['innuendo', 'fastarrowfin', 'bonk', 'hunajakani', 'jugi472', 'yaisk']","['jugE', 'ember', 'mrRealfield', 'mIpoika', 'vOJM28', 'artzibaani']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-04 20:00:00,Samsung Morning Stars,Sheer Cold,"['bijuu', 'feez', 'hades2417', 'nipahog', 'sab', 'sstarb0i']","['backbone', 'grathen', 'shade', 'alex2704', 'aNJ', 'sucrax']",0,3,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-04 22:00:00,Noble,Karasuno,"['brooks', 'ultimawep', 'infernal', 'gao', 'mac', 'tensa']","['valen', 'ricky', 'cowman711', 'nich', 'fix', 'lep']",1,3,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-05 00:00:00,Square One,Saints,"['dimes', 'tracK', 'brute', 'cameron', 'dino', 'anghell1c']","['aether', 'hazard', 'guru', 'chayne', 'panic', 'mac']",3,0,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-05 15:00:00,Foxra,Icarus Exiles,"['hohtomikke', 'vaksis', 'madKiwi', 'jullePoika', 'joozak', 'attackmove']","['innuendo', 'fastarrowfin', 'bonk', 'hunajakani', 'jugi472', 'yaisk']",0,2,2,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-05 15:00:00,Tikka eSports,MRG Agate,"['pkopo1', 'matsii', 'janikut', 'mrClean', 'miro', 'a310ra']","['jay', 'soren', 'muffindynamo', 'lude', 'bloodyHeroes', 'traeny']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-05 16:00:00,MBMC,HentaiReview,"['banadex', 'nummine', 'kISU', 'mrAre', 'hakkee', 'kubix']","['realJoee', 'quosant', 'batonk', 'legi', 'jesbu', 'atteex']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-05 16:00:00,BlueWhites,Tikka eSports,"['depsi', 'mets1s', 'another1', 'karrod', 'motroboomon', 'mcraka']","['pkopo1', 'matsii', 'janikut', 'mrClean', 'miro', 'a310ra']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-05 16:00:00,VASTA Gaming,Icarus Exiles,"['rockett', 'sauna', 'love', 'explorer', 'levitate', 'abbs']","['innuendo', 'fastarrowfin', 'bonk', 'hunajakani', 'jugi472', 'yaisk']",2,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-05 17:00:00,VASTA Gaming,BlueWhites,"['rockett', 'sauna', 'love', 'explorer', 'levitate', 'abbs']","['depsi', 'mets1s', 'another1', 'karrod', 'motroboomon', 'mcraka']",1,0,1,https://liquipedia.net/overwatch/Virtuaalirama_Overwatch
2020-06-05 18:00:00,British Hurricane,Shu's Money Crew EU,"['dannedd', 'sparkR', 'molf1g', 'hadi', 'jofi', 'ripa']","['sycamore', 'seicoe', 'naru', 'doge', 'exorath', 'zytor']",3,1,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-05 20:00:00,Young and Beautiful,Ex Oblivione,"['jona', 'yiqids', 'jkAru19', 'vestola', 'gustav', 'iBTB']","['linnou', 'phi', 'daanS', 'rene', 'karra', 'slay']",0,3,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-05 22:00:00,Third Impact,Triumph,"['ta1yo', 'reyzr', 'decod', 'iCy', 'zholik', 'lr1s']","['bigALL', 'hydron', 'n2S', 'aspire', 'milkyman', 'txao']",3,1,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-06 00:00:00,Team Doge,Second Wind,"['kevster', 'onigod', 'salieri', 'finnsi', 'ojee', 'aFoxx']","['iced', 'speedily', 'caden', 'higan', 'frill', 'joobi']",3,0,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-09 00:00:00,Memecord,UwUwatch,"['akashi', 'calamitus', 'cyto', 'narberall', 'wucked', 'emhun']","['codeina', 'invOx', 'jack', 'charlotte', 'inoariusu', 'izumisagiri']",3,2,1,https://liquipedia.net/overwatch/New_Wave_Invitationals
2020-06-09 00:00:00,Washed Up Homies,Ube Server,"['cyanide', 'freak', 'kei', 'ambi', 'flash', 'lone']","['iceTubig', 'kokombear', 'mershy', 'chico', 'milsonzs', 'santopaps']",4,0,1,https://liquipedia.net/overwatch/New_Wave_Invitationals
2020-06-11 18:00:00,Young and Beautiful,Raspberry Racers,"['jona', 'yiqids', 'jkAru19', 'vestola', 'gustav', 'iBTB']","['clowd', 'wayfast', 'helv', 'cenny', 'skairipa', 'watery']",1,3,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-11 20:00:00,Shu's Money Crew EU,Sheer Cold,"['sycamore', 'seicoe', 'naru', 'doge', 'exorath', 'zytor']","['backbone', 'grathen', 'shade', 'alex2704', 'aNJ', 'sucrax']",3,1,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-11 22:00:00,Second Wind,Karasuno,"['iced', 'speedily', 'caden', 'higan', 'frill', 'joobi']","['valen', 'ricky', 'cowman711', 'nich', 'fix', 'lep']",3,0,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-12 00:00:00,Triumph,Square One,"['bigALL', 'hydron', 'n2S', 'aspire', 'milkyman', 'txao']","['dimes', 'tracK', 'brute', 'cameron', 'dino', 'anghell1c']",3,0,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-12 17:00:00,British Hurricane,Ex Oblivione,"['dannedd', 'sparkR', 'molf1g', 'hadi', 'jofi', 'ripa']","['linnou', 'phi', 'daanS', 'rene', 'karra', 'slay']",3,1,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-12 18:30:00,Raspberry Racers,Shu's Money Crew EU,"['clowd', 'wayfast', 'helv', 'cenny', 'skairipa', 'watery']","['sycamore', 'seicoe', 'naru', 'doge', 'exorath', 'zytor']",3,1,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-12 20:00:00,Ex Oblivione,Raspberry Racers,"['linnou', 'phi', 'daanS', 'rene', 'karra', 'slay']","['clowd', 'wayfast', 'helv', 'cenny', 'skairipa', 'watery']",1,3,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-12 22:30:00,Third Impact,Team Doge,"['ta1yo', 'reyzr', 'decod', 'iCy', 'zholik', 'lr1s']","['kevster', 'onigod', 'salieri', 'finnsi', 'ojee', 'aFoxx']",0,3,2,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-13 00:00:00,Second Wind,Triumph,"['iced', 'speedily', 'caden', 'higan', 'frill', 'joobi']","['bigALL', 'hydron', 'n2S', 'aspire', 'milkyman', 'txao']",3,2,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-13 01:30:00,Third Impact,Second Wind,"['ta1yo', 'reyzr', 'decod', 'iCy', 'zholik', 'lr1s']","['iced', 'speedily', 'caden', 'higan', 'frill', 'joobi']",3,2,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-14 14:00:00,British Hurricane,Raspberry Racers,"['dannedd', 'sparkR', 'molf1g', 'hadi', 'jofi', 'ripa']","['clowd', 'wayfast', 'helv', 'cenny', 'skairipa', 'watery']",4,1,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/Europe
2020-06-14 17:00:00,Team Doge,Third Impact,"['kevster', 'onigod', 'salieri', 'finnsi', 'ojee', 'aFoxx']","['ta1yo', 'reyzr', 'decod', 'iCy', 'zholik', 'lr1s']",4,1,1,https://liquipedia.net/overwatch/Overwatch_Contenders/2020/Season_1/North_America
2020-06-28 23:30:00,Washington Justice,Boston Uprising,"['tTuba', 'stitch', 'lullSiSH', 'rOar', 'jJANU', 'arK']","['colourhex', 'jerry', 'fusions', 'axxiom', 'mikeyy', 'punk']",3,1,1,https://liquipedia.net/overwatch/Overwatch_League/Season_3/Regular_Season/June/Tournament
2020-07-03 19:00:00,Paris Eternal,Dallas Fuel,"['soOn', 'sp9rk1e', 'niCOgdh', 'xzi', 'benBest', 'noSmite']","['aKm', 'decay', 'doha', 'onigod', 'notE', 'trill']",3,1,1,https://liquipedia.net/overwatch/Overwatch_League/Season_3/Regular_Season/June/Tournament
2020-07-03 21:00:00,Florida Mayhem,Houston Outlaws,"['sayaplayer', 'bQB', 'yaki', 'fate', 'gargoyle', 'karayan']","['liNkzr', 'danteh', 'blasé', 'hydration', 'sPREE', 'muma']",1,3,2,https://liquipedia.net/overwatch/Overwatch_League/Season_3/Regular_Season/June/Tournament
2020-07-03 23:00:00,Los Angeles Valiant,Toronto Defiant,"['kSF', 'shax', 'apply', 'kSP', 'mcGravy', 'dreamer']","['logix', 'mangachu', 'agilities', 'surefour', 'zYKK', 'beast']",1,3,2,https://liquipedia.net/overwatch/Overwatch_League/Season_3/Regular_Season/June/Tournament
